"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","38:00","18.928",,,
"124","2019-08-06","12:43:19","38:10","19.233",,,
"124","2019-08-06","12:43:19","38:20","18.349",,,
"124","2019-08-06","12:43:19","38:30","17.922",,,
"124","2019-08-06","12:43:19","38:40","17.374",,,
"124","2019-08-06","12:43:19","38:50","16.52",,,
"124","2019-08-06","12:43:19","39:00","16.032",,,
"124","2019-08-06","12:43:19","39:10","16.032",,,
"124","2019-08-06","12:43:19","39:20","15.27",,,
"124","2019-08-06","12:43:19","39:30","15.149",,,
"124","2019-08-06","12:43:19","39:40","15.027",,,
"124","2019-08-06","12:43:19","39:50","15.331",,,
"124","2019-08-06","12:43:19","40:00","15.27",,,
"124","2019-08-06","12:43:19","40:10","15.057",,,
"124","2019-08-06","12:43:19","40:20","15.088",,,
"124","2019-08-06","12:43:19","40:30","15.088",,,
"124","2019-08-06","12:43:19","40:40","15.362",,,
"124","2019-08-06","12:43:19","40:50","15.118",,,
"124","2019-08-06","12:43:19","41:00","15.27",,,
"124","2019-08-06","12:43:19","41:10","15.484",,,
"124","2019-08-06","12:43:19","41:20","15.423",,,
"124","2019-08-06","12:43:19","41:30","15.057",,,
"124","2019-08-06","12:43:19","41:40","14.966",,,
"124","2019-08-06","12:43:19","41:50","15.392",,,
"124","2019-08-06","12:43:19","42:00","15.301",,,
"124","2019-08-06","12:43:19","42:10","15.362",,,
"124","2019-08-06","12:43:19","42:20","15.088",,,
"124","2019-08-06","12:43:19","42:30","15.453",,,
"124","2019-08-06","12:43:19","42:40","15.85",,,
"124","2019-08-06","12:43:19","42:50","15.819",,,
"124","2019-08-06","12:43:19","43:00","15.545",,,
"124","2019-08-06","12:43:19","43:10","15.758",,,
"124","2019-08-06","12:43:19","43:20","15.85",,,
"124","2019-08-06","12:43:19","43:30","15.697",,,
"124","2019-08-06","12:43:19","43:40","15.819",,,
"124","2019-08-06","12:43:19","43:50","15.85",,,
"124","2019-08-06","12:43:19","44:00","15.789",,,
"124","2019-08-06","12:43:19","44:10","15.484",,,
"124","2019-08-06","12:43:19","44:20","15.331",,,
"124","2019-08-06","12:43:19","44:30","15.27",,,
"124","2019-08-06","12:43:19","44:40","15.362",,,
"124","2019-08-06","12:43:19","44:50","15.362",,,
"124","2019-08-06","12:43:19","45:00","15.118",,,
"124","2019-08-06","12:43:19","45:10","14.813",,,
"124","2019-08-06","12:43:19","45:20","15.21",,,
"124","2019-08-06","12:43:19","45:30","15.331",,,
"124","2019-08-06","12:43:19","45:40","15.27",,,
"124","2019-08-06","12:43:19","45:50","15.331",,,
"124","2019-08-06","12:43:19","46:00","15.697",,,
"124","2019-08-06","12:43:19","46:10","15.392",,,
"124","2019-08-06","12:43:19","46:20","15.21",,,
"124","2019-08-06","12:43:19","46:30","14.935",,,
"124","2019-08-06","12:43:19","46:40","14.569",,,
"124","2019-08-06","12:43:19","46:50","15.392",,,
"124","2019-08-06","12:43:19","47:00","15.27",,,
"124","2019-08-06","12:43:19","47:10","15.149",,,
"124","2019-08-06","12:43:19","47:20","14.966",,,
"124","2019-08-06","12:43:19","47:30","15.057",,,
"124","2019-08-06","12:43:19","47:40","14.417",,,
"124","2019-08-06","12:43:19","47:50","13.564",,,
"124","2019-08-06","12:43:19","48:00","12.863",,,
"124","2019-08-06","12:43:19","48:10","12.771","27.778",,
"124","2019-08-06","12:43:19","48:20","12.375","27.222",,
"124","2019-08-06","12:43:19","48:30","11.643",,,
"124","2019-08-06","12:43:19","48:40","11.308",,,
"124","2019-08-06","12:43:19","48:50","11.704","27.778",,
"124","2019-08-06","12:43:19","49:00","11.796",,,
"124","2019-08-06","12:43:19","49:10","11.765","27.222",,
"124","2019-08-06","12:43:19","49:20","11.735",,,
"124","2019-08-06","12:43:19","49:30","11.674","27.778",,
"124","2019-08-06","12:43:19","49:40","11.46",,,
"124","2019-08-06","12:43:19","49:50","11.643",,,
"124","2019-08-06","12:43:19","50:00","11.217",,,
"124","2019-08-06","12:43:19","50:10","11.186",,,
"124","2019-08-06","12:43:19","50:20","11.674",,,
"124","2019-08-06","12:43:19","50:30","11.521",,,
"124","2019-08-06","12:43:19","50:40","11.765",,,
"124","2019-08-06","12:43:19","50:50","11.521",,,
"124","2019-08-06","12:43:19","51:00","11.46",,,
"124","2019-08-06","12:43:19","51:10","11.186",,,
"124","2019-08-06","12:43:19","51:20","11.521",,,
"124","2019-08-06","12:43:19","51:30","11.582","27.222",,
"124","2019-08-06","12:43:19","51:40","11.217","27.778",,
"124","2019-08-06","12:43:19","51:50","11.369",,,
"124","2019-08-06","12:43:19","52:00","11.674",,,
"124","2019-08-06","12:43:19","52:10","11.796","27.222",,
"124","2019-08-06","12:43:19","52:20","11.521",,,
"124","2019-08-06","12:43:19","52:30","11.643","27.778",,
"124","2019-08-06","12:43:19","52:40","11.613",,,
"124","2019-08-06","12:43:19","52:50","11.918","27.222",,
"124","2019-08-06","12:43:19","53:00","11.704",,,
"124","2019-08-06","12:43:19","53:10","11.735",,,
"124","2019-08-06","12:43:19","53:20","11.674","27.778",,
"124","2019-08-06","12:43:19","53:30","11.735",,,
"124","2019-08-06","12:43:19","53:40","11.857",,,
"124","2019-08-06","12:43:19","53:50","11.369",,,
"124","2019-08-06","12:43:19","54:00","11.034",,,
"124","2019-08-06","12:43:19","54:10","11.064",,,
"124","2019-08-06","12:43:19","54:20","11.887",,,
"124","2019-08-06","12:43:19","54:30","11.918",,,
