domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota	Metazoa	Porifera	Demospongiae	Verongiida	Pseudoceratinidae	Pseudoceratina	dropped	Zotu1071	LCA	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	31	39	165	0	0	0	0	0	2	0	0	14	0	0	0	0	18	0	0
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	Dolichomastix tenuilepis	Zotu1098	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	22	0	0	0	0	0	3	0	57	17	0	0	0	0	227	24	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Bestiolina	Bestiolina similis	Zotu1121	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	425	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1138	LCA	3	0	0	0	393	0	0	0	6	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	66	15	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	Zotu1162	LCA	1	0	0	0	201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	206	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1169	LCA	2	0	0	0	0	0	0	9	19	0	0	0	13	45	0	1	3	4	0	1	55	1	17	42	12	0	6	3	4	62	13	2	49	1	0	0	32	0	24	8	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1174	LCA	2	0	0	4	0	0	0	0	26	0	0	0	35	0	0	0	0	14	0	0	95	26	18	4	0	0	5	0	38	2	1	23	0	4	0	106	18	0	12	0	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu1225	LCA	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	16	0	1	2	0	0	2	24	0	1	0	0	3	4	364	2	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu1322	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	381	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1344	LCA	3	0	0	5	2	0	1	81	27	0	2	0	0	0	19	0	10	1	0	17	8	12	37	199	79	0	10	4	14	1	11	0	21	2	0	0	0	1	16	8	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae	dropped	dropped	Zotu1350	LCA	3	0	0	0	0	0	0	0	26	0	0	0	7	0	0	0	0	3	0	20	41	0	32	4	53	0	16	1	10	14	21	20	8	12	0	0	37	25	115	21	0
Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Ascidia	Ascidia ahodori	Zotu1375	LCA	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	28	123	0	10	0	0	0	0	0	70	45	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Sapphirinidae	Sapphirina	dropped	Zotu1390	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Labriformes	Labridae	dropped	dropped	Zotu1423	LCA	3	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae	dropped	dropped	Zotu1452	LCA	3	0	0	0	0	65	0	0	5	0	0	0	1	0	0	0	10	23	0	0	14	4	6	0	9	0	6	4	6	86	7	5	0	2	0	100	1	0	0	1	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu1460	LCA	1	0	0	88	0	0	44	72	11	0	0	0	0	0	0	0	1	4	0	0	7	0	22	0	25	0	2	0	12	3	54	19	0	5	0	0	0	0	0	4	0
Eukaryota		Haptophyta		Isochrysidales	Noelaerhabdaceae	dropped	dropped	Zotu1468	LCA	3	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	12	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	Calocalanus pavo	Zotu1477	LCA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	19	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae	dropped	dropped	Zotu1659	LCA	6	0	0	3	0	282	0	0	0	0	3	0	5	0	0	0	0	0	0	5	15	0	10	0	0	0	0	0	10	0	6	0	0	0	0	11	2	0	7	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1660	LCA	3	0	0	7	0	0	38	26	15	0	1	0	1	0	0	0	12	2	0	0	26	17	8	11	23	0	0	0	11	19	39	19	9	1	0	0	9	8	9	6	0
Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Ascidia	Ascidia ahodori	Zotu1900	LCA	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	58	0	0	0	3	10	0	58	0	1	7	1	0	0	11	1	1	19	0	7	25	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1919	LCA	6	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	28	218	9	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	5	0
Eukaryota			Pelagophyceae	Pelagomonadales		Aureococcus	Aureococcus anophagefferens	Zotu1934	LCA	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	194	0	0	0	0	0	13	0	3	0	3	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Porifera	Demospongiae	dropped	dropped	dropped	dropped	Zotu1979	LCA	6	0	0	0	0	0	0	86	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	35	0	57	4	0	0	1	0	0	13	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1992	LCA	6	0	0	8	74	0	0	0	9	31	1	0	1	0	0	1	2	12	0	0	18	4	27	0	13	0	12	4	11	6	7	2	1	0	0	0	3	78	1	6	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	dropped	Zotu1998	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	219	0	0	0	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu2036	LCA	1	0	0	14	0	0	2	0	2	0	0	0	5	1	0	0	0	40	0	0	11	95	7	0	4	0	2	0	0	35	4	1	0	0	0	8	9	5	0	2	0
Eukaryota	Metazoa	Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	dropped	Zotu2046	LCA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigroris	Zotu2059	LCA	1	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
