OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu4465	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	3	0	0	0	0	0
Zotu4466	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Zotu4468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	22	0	0	0	0	0	0	0
Zotu447	0	0	162	31	0	19	383	157	20	91	0	219	3	0	115	73	182	1	0	0	2	52	33	7	0	17	0	13	2	25	4	3	0	0	0	0	2	0	1	0
Zotu4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	36	0	0	0	0
Zotu4472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	57	0	0	0
Zotu4473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
Zotu4474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
Zotu4475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
Zotu4478	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0
