OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu2170	0	0	0	0	16	86	45	199	55	6	2	76	0	412	156	0	16	92	249	0	397	39	43	104	19	73	163	284	341	14	46	67	3	63	46	0	222	157	22	9	0
Zotu2172	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Zotu2175	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2177	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	11	0	0	4	0	4	0	0	0	0
Zotu218	0	0	0	0	0	0	0	0	45	16	24	62	0	0	0	0	0	11	0	0	8	0	63	29	21	227	25	0	0	0	55	56	134	178	0	0	27	6	20	36	0
Zotu2182	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	17	25	0	0	3	0	0	0	0	0	0	0	0	0
Zotu2188	0	0	0	0	0	32	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu219	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	330	534	2	10	0	0	0	0	2	0	209	0	0	0	0
Zotu2194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2195	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
